height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
0.221208,81.8037,98.1953,151.337,104.843,138.275,156.127
0.221968,81.7998,98.1055,151.217,105.035,138.275,156.113
0.223639,81.8958,97.9062,151.257,105.057,138.111,156.204
0.22315,81.7844,97.9548,151.191,105.053,138.111,156.176
0.223008,81.7673,97.9645,151.326,105.009,138.123,156.199
0.220345,81.846,98.2515,151.533,103.997,138.079,155.762
0.220385,81.8752,98.2214,151.833,104.119,138.06,155.926
0.221553,82.0732,97.816,152.018,104.225,138.043,156.056
0.222822,82.228,97.6166,150.2,104.715,138.043,156.049
0.221836,82.2256,97.3719,150.163,104.795,138.028,156.132
0.22189,82.2338,97.3762,152.227,104.856,138.024,156.159
0.220765,82.2976,97.2049,150.832,104.89,137.904,156.538
0.222752,82.319,97.2452,150.873,104.973,137.938,156.417
0.222794,82.3164,97.0418,150.917,105.169,137.958,156.425
0.222948,82.2663,97.0019,151.473,105.205,138.013,155.824
0.22299,82.2495,97.1583,151.119,105.149,138.003,155.631
0.223166,82.4528,96.9626,151.642,105.11,137.973,155.968
0.223664,82.5166,96.7727,150.491,105.06,137.948,155.867
0.223146,82.4497,96.9481,150.842,105.101,137.947,155.935
0.223401,82.51,96.8174,150.954,105.134,137.932,156.009
0.224276,82.6062,96.6108,150.24,105.16,137.886,156.042
0.224137,82.8253,96.6839,150.698,105.154,137.881,156.014
0.224194,82.9595,95.6484,150.218,104.853,137.833,156.111
0.22545,83.0621,95.5943,150.584,105.425,137.851,156.072
0.227762,82.9878,95.6279,149.681,106.015,137.856,155.837
0.228862,83.0396,96.3067,149.095,106.264,137.859,155.688
0.228064,82.8091,96.5696,148.728,106.069,137.886,155.684
0.247327,82.7934,96.7636,149.227,106.08,137.863,155.775
0.22778,82.7054,96.9793,148.85,105.971,137.86,155.73
0.228466,82.6179,96.9645,151.393,105.852,137.943,156.59
0.23061,82.8643,96.966,154.691,106.082,138.012,157.981
0.229435,82.9174,96.8242,155.344,106.132,138.001,158.173
0.228919,83.0163,96.4246,154.935,105.868,137.96,158.284
0.229286,83.0298,96.1421,154.421,105.941,137.963,158.196
0.228647,83.0969,95.79,154.017,105.82,137.911,158.341
0.228645,83.0926,95.7755,153.828,106.078,137.905,158.37
0.228379,83.3978,95.3595,154.951,106.19,137.855,158.746
0.229056,83.4781,95.2,154.83,106.27,137.833,158.769
0.228679,83.3909,95.3212,154.489,106.223,137.795,158.786
0.228515,83.3239,94.9482,154.422,106.212,137.803,158.835
0.228771,83.2944,95.0816,154.352,106.268,137.796,158.834
0.228547,83.3477,94.9283,154.448,106.19,137.786,158.927
0.22929,83.2116,95.1731,154.414,105.517,137.75,158.819
0.229925,83.357,94.9978,154.203,105.514,137.694,158.817
0.250306,83.337,95.0782,155.21,105.481,137.697,158.535
0.229906,83.6395,94.7006,154.963,105.681,137.743,159.133
0.228726,83.5465,94.8036,155.124,105.367,137.754,159.253
0.229014,83.45,94.8407,155.389,105.504,137.789,159.31
0.248713,82.923,95.0488,153.393,105.502,137.816,157.887
0.227075,82.5,95.3668,150.779,105.227,137.865,157.026
0.229164,83.0616,95.074,155.145,105.52,137.834,158.979
0.228094,83.142,95.2729,155.436,105.477,137.849,159.191
0.227106,83.207,95.2409,155.964,105.202,137.851,159.43
0.226717,83.2066,95.3095,155.967,105.264,137.811,159.577
0.225276,83.1847,95.3757,156.062,105.011,137.751,159.748
0.224838,83.2551,95.3533,156.46,104.923,137.766,159.882
0.22573,83.5192,95.8957,157.878,105.067,137.783,160.122
0.222169,82.8783,96.5421,157.323,104.687,140.094,157.193
0.226366,82.7416,96.114,154.569,104.77,138.096,159.186
0.225247,82.8289,95.9601,155.158,105.099,138.122,159.087
0.225987,82.5823,96.5747,155.239,105.084,138.094,158.861
0.225863,82.7836,96.2705,155.816,105.677,138.108,158.828
0.224802,82.8665,95.719,156.182,105.743,138.003,158.979
0.224155,83.2314,95.1768,156.427,105.93,137.829,159.23
0.222778,82.9883,95.3475,154.315,105.688,137.766,158.639
0.222073,83.0425,94.7121,154.009,105.61,137.757,158.593
0.221806,82.7881,94.929,153.341,105.768,137.759,158.268
0.220437,82.8126,94.8373,153.085,105.49,137.773,158.216
0.220238,82.8033,94.1905,151.059,105.305,137.757,158.007
0.219409,82.669,94.4993,150.92,105.064,137.746,157.934
0.218457,82.5362,94.746,150.18,104.76,137.697,157.896
0.2193,82.7546,94.5811,150.485,104.856,137.675,157.904
0.220012,82.8672,94.6016,150.556,105.016,137.616,157.933
0.220811,82.8331,94.8275,149.618,105.088,137.592,157.812
0.221197,82.8391,94.867,149.272,105.142,137.571,157.855
0.221134,82.8362,94.7992,150.863,105.191,137.557,157.817
0.220317,82.8398,94.9395,149.465,104.858,137.452,158.041
0.220834,83.0242,94.6583,149.437,104.841,137.411,158.217
0.221051,83.0176,94.7125,149.214,104.832,137.469,158.136
0.222151,83.0423,94.6986,149.116,104.867,137.451,158.087
0.221545,83.1937,94.4741,149.009,104.978,137.502,158.195
0.22155,83.2793,94.5071,149.003,104.734,137.472,158.328
0.223102,83.3691,94.4671,149.004,104.818,137.458,158.315
0.222812,83.3541,94.4435,148.813,104.845,137.514,158.27
0.222558,83.3707,94.452,148.777,105.005,137.535,158.299
0.223304,83.3617,94.3165,148.675,105.272,137.498,158.351
0.222323,83.4057,94.3097,148.649,105.276,137.418,158.525
0.222405,83.4182,94.2606,148.521,105.291,137.392,158.54
0.222051,83.544,94.7473,149.172,105.403,137.42,158.654
0.22196,83.5629,94.5561,149.17,105.407,137.419,158.729
0.2213,83.5588,94.5294,149.017,105.398,137.457,158.694
0.221417,83.5711,94.5997,148.757,105.388,137.446,158.669
0.221676,83.574,94.9356,149.242,105.432,137.45,158.637
0.222308,83.5557,94.6686,149.763,105.503,137.413,158.723
0.221851,83.5877,94.6998,149.967,105.528,137.439,158.679
0.221079,83.6243,94.3665,149.501,105.474,137.388,158.787
0.221177,83.6405,94.3297,149.903,105.557,137.405,158.84
0.221388,83.6335,94.256,149.443,105.531,137.397,158.764
0.22107,83.6525,94.6808,149.882,105.639,137.418,158.773
0.22078,83.7341,94.0706,149.242,105.54,137.411,158.774
0.220305,83.78,94.1657,149.032,105.537,137.392,158.749
0.220368,83.7196,94.1824,148.646,105.512,137.392,158.682
0.220626,83.7243,94.2301,148.565,105.528,137.408,158.635
0.220562,83.7067,94.2615,148.471,105.52,137.404,158.609
0.220166,83.6744,94.1546,148.467,105.47,137.415,158.645
0.220278,83.6293,94.1363,148.394,105.52,137.422,158.656
0.220721,83.6417,94.6307,149.129,105.582,137.415,158.684
0.220934,83.6355,94.6537,148.974,105.565,137.44,158.626
0.221019,83.6266,94.6531,148.836,105.546,137.436,158.617
0.221202,83.5995,94.6995,148.509,105.482,137.411,158.601
0.222639,83.4808,94.9762,148.549,105.457,137.353,158.615
0.223265,83.5669,95.0369,149.348,105.532,137.392,158.662
0.21911,83.3085,95.5411,148.809,104.506,137.43,158.764
0.220807,83.2283,95.9882,148.286,104.59,137.574,158.425
0.221349,83.2171,95.9825,148.296,104.654,137.568,158.389
0.22174,83.1992,95.933,148.294,104.731,137.613,158.315
0.220118,83.1249,95.749,148.115,104.259,137.62,158.404
0.22048,83.0638,95.731,148.137,104.42,137.611,158.379
0.220498,82.8938,96.126,148.943,104.413,137.682,158.249
0.222073,82.8215,96.1906,148.809,104.232,137.663,158.068
0.225366,82.811,96.113,150.869,104.514,137.741,157.781
0.224715,82.7325,96.018,148.519,104.432,137.706,157.809
0.224686,82.6536,96.0573,148.507,104.347,137.704,157.807
0.224321,82.5277,96.2386,148.418,104.238,137.711,157.771
0.224217,82.5606,96.0889,148.423,104.408,137.683,157.83
0.223814,82.6302,96.1994,149.843,104.314,137.691,158.245
0.223446,82.6332,96.1401,150.657,104.212,137.643,158.548
0.223659,82.9676,96.0079,154.237,104.466,137.671,159.343
0.223945,82.9915,95.8983,154.116,104.493,137.659,159.355
0.224075,82.9575,95.9439,154.076,104.514,137.661,159.32
0.224794,83.2222,95.6321,154.013,104.462,137.615,159.304
0.224065,83.2059,95.4865,153.959,104.28,137.608,159.388
0.224032,82.9782,95.9192,154.973,104.314,137.66,159.343
0.223411,82.8027,95.9448,154.487,104.192,137.673,159.235
0.224176,82.7972,95.8978,154.371,104.664,137.679,159.204
0.223819,82.7227,96.0265,154.156,104.499,137.695,159.138
0.224183,82.8055,95.5089,153.88,105.339,137.695,159.113
0.224678,82.7248,95.5501,153.515,105.654,137.701,159.006
0.224125,82.5625,95.9023,154.007,105.516,137.791,158.826
0.22374,82.4465,96.3879,153.611,105.419,137.826,158.741
0.224209,82.5636,96.1163,153.287,105.549,137.799,158.691
0.224476,82.4856,96.2284,153.045,105.403,137.763,158.675
0.224795,82.3745,96.4877,153.071,105.594,137.773,158.608
0.225277,82.4045,96.3729,152.811,105.612,137.774,158.562
0.225281,82.1289,96.8133,154.346,105.497,137.799,158.792
0.225878,81.978,96.8105,153.179,105.684,137.807,158.427
0.226011,82.2217,96.5425,152.555,105.7,137.771,158.373
0.225585,82.3195,96.3567,152.824,105.439,137.763,158.528
0.225602,82.2636,96.4523,153.219,105.526,137.771,158.419
0.22501,82.1491,96.7339,153.369,105.328,137.764,158.318
0.225191,82.2017,96.882,152.53,105.35,137.725,158.35
0.225093,82.2138,96.9706,153.361,105.324,137.721,158.515
0.22466,82.2749,96.8753,152.914,105.341,137.675,158.459
0.223372,82.3107,96.9821,152.715,104.645,137.641,158.366
0.224316,82.1297,96.8648,151.408,104.587,137.888,157.388
0.225026,82.0637,96.9141,151.163,104.732,137.91,157.148
0.224751,82.2213,96.5525,151.137,104.674,137.9,157.226
0.225327,82.3368,96.2873,150.732,104.945,137.881,157.123
0.2256,81.6857,97.4255,149.518,104.973,140.261,153.123
0.228502,81.5014,97.6164,149.041,103.661,138.665,155.329
0.22279,80.9049,97.9441,148.162,102.723,139.601,153.413
0.223191,80.5746,98.385,147.699,102.03,139.827,152.905
0.233661,80.7472,97.9645,147.886,102.067,137.981,154.98
0.22084,80.6261,97.5236,147.651,101.665,139.368,153.635
0.221148,80.5234,97.375,147.406,101.591,139.625,153.051
0.225076,80.5423,96.9793,147.573,101.579,138.645,154.322
0.22485,80.6371,96.4497,147.772,101.577,138.27,154.769
0.224095,80.6932,95.7359,147.179,101.37,138.012,154.875
0.224051,80.6996,95.1072,146.931,101.249,137.967,154.762
0.226615,80.9922,94.5575,147.438,102.346,137.954,154.831
0.228135,81.0428,95.901,147.498,103.488,138.425,154.313
0.230184,80.9937,95.9376,147.501,103.841,138.695,154.057
0.23212,81.0045,96.0062,147.668,104.098,138.594,154.212
0.232999,80.8814,95.3873,147.293,104.009,138.343,154.315
0.231515,80.9108,95.5168,147.448,104.095,138.652,154.051
0.23367,80.8629,95.4593,147.63,104.241,138.428,154.38
0.234359,80.8717,95.509,147.659,104.26,138.599,154.098
0.236082,81.0313,95.48,148.035,104.379,137.977,155.048
0.235007,81.1849,95.1916,148.321,104.677,138.026,155.049
0.231858,81.2505,95.5488,148.555,104.751,138.467,154.522
0.232863,81.3701,95.1943,148.69,104.83,138.257,154.804
0.233294,81.3347,95.2771,148.821,104.892,138.17,154.939
0.233103,81.2657,95.4151,148.955,104.952,138.182,154.983
0.233806,81.2959,95.4846,149.063,105.029,137.905,155.363
0.229637,81.2253,95.5599,149.055,105.023,138.594,154.61
0.229134,81.2142,95.8704,149.174,105.038,138.826,154.344
0.229342,81.1356,96.2363,149.233,104.497,138.878,154.26
0.230633,81.1614,96.0499,149.284,104.086,138.307,155.053
0.230231,81.1689,96.0737,149.132,103.836,138.242,155.165
0.229293,81.1757,95.9664,149.059,103.556,138.188,155.317
0.227657,81.2205,95.9285,149.42,103.306,138.1,155.565
0.227042,81.2758,95.8793,149.667,103.171,138.019,155.756
0.223315,81.2045,95.899,149.719,102.983,138.596,155.123
0.223814,81.1052,96.0193,149.686,102.881,138.521,155.2
0.224588,81.0562,96.3917,149.901,102.893,138.365,155.452
0.25836,80.9565,97.2938,152.742,102.849,139.113,154.151
0.225441,80.9602,97.2305,149.772,102.162,138.629,154.996
0.226784,80.7947,96.966,149.734,102.517,138.646,154.835
0.224841,80.5818,96.9346,149.935,102.19,138.992,154.435
0.224189,80.7551,96.7027,149.936,102.099,139.053,154.379
0.226177,80.7955,96.6099,149.952,102.053,138.464,155.103
0.220691,80.7959,96.4141,149.835,101.908,139.644,153.546
0.229056,80.8099,96.4202,149.953,101.899,138.7,154.531
0.221093,80.3563,97.014,149.648,101.312,139.669,153.456
0.226287,80.4544,96.9342,149.769,101.302,138.504,154.812
0.225238,80.4759,96.7917,149.79,101.296,138.386,155.007
0.224148,80.4673,96.7863,149.78,101.288,138.373,155.104
0.224018,80.4561,96.7707,149.786,101.053,138.234,155.243
0.255455,79.5037,98.3419,152.472,101.167,138.265,154.875
0.254136,79.4974,98.3504,152.594,101.063,139.381,153.067
0.229199,79.5494,98.1955,149.735,102.556,138.375,154.412
0.231848,79.6385,98.0421,149.803,103.412,138.347,154.54
0.228993,79.7895,97.8408,149.745,103.879,139.042,153.783
0.230828,79.951,97.8872,149.794,104.134,138.751,154.185
0.232667,79.9468,97.8553,149.948,104.421,138.629,154.422
0.232563,80.0889,98.0468,149.949,104.438,138.961,153.896
0.233496,80.1475,97.9738,149.97,104.472,138.79,154.179
0.23235,79.8536,98.0372,150.003,104.548,138.638,154.502
0.231655,79.8377,97.815,150.953,103.659,138.54,154.656
0.230497,79.9789,97.5441,151.074,103.064,138.384,154.865
0.228869,80.0699,97.3469,151.188,102.789,138.335,155.042
0.229895,80.0859,97.3209,151.11,103.449,138.332,154.997
0.229029,80.2018,97.1333,151.105,103.242,138.324,155.055
0.227799,80.2618,96.9994,150.824,103.106,138.173,155.26
0.226774,80.438,96.9909,150.646,102.988,138.132,155.321
0.226513,80.5182,96.8849,150.525,102.919,138.156,155.264
0.227317,80.3228,95.9321,149.572,102.454,138.019,154.942
0.225635,80.4646,95.5924,149.607,102.462,137.972,155.152
0.22513,80.3824,95.8443,148.978,102.41,137.941,155.098
0.222676,79.9362,96.359,147.041,102.212,139.997,152.121
0.254727,80.0525,96.2843,149.617,102.023,138.561,153.763
0.250413,79.9212,97.0116,150.091,101.681,139.147,153.019
0.251816,80.0632,96.5581,150.388,101.674,138.322,154.278
0.227975,80.1332,96.478,147.667,101.728,138.31,154.382
0.227528,80.2096,96.7591,147.987,101.644,138.313,154.499
0.224521,80.2373,96.5647,148.262,101.697,138.772,154.147
0.226982,80.3281,96.1341,148.434,102.899,138.588,154.414
0.229408,80.4098,96.0179,148.649,102.583,138.291,154.624
0.255197,80.2091,96.0295,152.041,103.331,138.352,154.385
0.252322,80.2935,96.221,152.222,102.85,138.31,154.561
0.251275,80.2541,96.4081,152.253,102.433,138.175,154.786
0.249025,80.3244,96.2205,152.19,102.182,138.809,154.275
0.2282,79.5728,96.4646,148.502,102.036,139.219,152.768
0.228733,79.5412,96.3922,149.138,101.887,138.709,153.82
0.2256,79.6883,96.2382,149.22,101.859,138.42,154.349
0.22545,79.9095,96.6152,149.809,102.146,138.412,154.697
0.226161,79.9674,96.6492,150.258,102.169,138.199,155.105
0.225982,80.0006,96.677,150.335,102.17,138.209,155.151
0.227317,80.0587,96.6949,150.447,102.893,138.234,155.127
0.229128,80.3651,96.1902,150.54,103.307,138.129,155.172
0.229625,79.9912,96.0534,150.078,103.4,138.058,154.835
0.224967,79.9714,96.062,150.69,103.152,138.77,154.248
0.227707,79.8525,96.5248,150.903,102.703,138.438,154.571
0.225338,79.821,96.7428,150.735,102.675,138.826,154.142
0.224323,79.8372,96.7195,150.69,101.974,138.705,154.367
0.224907,80.0684,96.7425,150.761,101.936,138.465,154.676
0.224798,80.1244,96.6577,150.718,101.865,138.427,154.761
0.225333,80.1552,96.5541,150.652,101.843,138.314,154.921
0.224183,80.2027,96.5443,150.621,101.833,138.274,155.107
0.221532,80.296,97.2125,150.468,101.671,138.909,154.353
0.225514,80.5049,96.8475,150.584,102.464,138.637,154.649
0.225837,80.0405,97.5019,150.335,102.528,138.585,154.558
0.252154,80.1116,97.7123,153.749,102.41,138.412,154.772
0.251856,79.6632,95.8908,152.127,101.785,138.819,153.402
0.225317,79.9832,95.4428,149.127,102.378,138.497,153.989
0.228308,80.1595,95.3766,149.419,102.97,138.315,154.363
0.228545,80.1849,95.891,149.453,103.264,138.997,153.328
0.230383,80.6847,95.2019,149.916,103.561,138.225,154.653
0.230955,80.6683,95.2479,149.958,103.748,138.229,154.693
0.232225,80.9303,94.8731,150.098,104.445,138.182,154.786
0.231845,80.9638,95.1166,150.33,104.218,138.125,154.938
0.23238,81.1558,95.0601,150.623,104.515,138.087,155.136
0.232222,80.9964,95.441,150.823,104.61,138.058,155.277
0.231342,80.6161,96.222,151.063,104.668,138.11,155.243
0.231253,80.614,95.4318,149.599,104.632,138.089,155.074
0.229893,80.7111,95.6249,150.247,104.211,138.091,155.337
0.230133,80.719,95.7524,150.063,104.512,138.753,154.463
0.229913,80.704,95.5141,150.294,104.689,138.632,154.706
0.228935,80.7541,95.5066,150.524,104.282,138.464,155.112
0.226483,80.508,95.7115,150.18,104.356,139.012,154.376
0.229029,80.5494,95.5877,150.381,104.394,138.594,154.916
