height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
0.915385,123.688,136.384,38.1426,100.337,179.207,97.2697
0.914687,123.215,136.462,38.2751,100.728,178.559,98.1247
0.947144,122.755,136.923,38.3089,98.6802,178.262,98.7157
0.914814,122.431,137.056,38.3907,101.571,177.756,99.3654
0.91578,121.544,137.903,38.4156,101.539,177.539,99.7818
0.963865,121.306,138.067,38.2856,99.3585,177.415,99.9484
0.965551,121.006,138.525,38.2175,99.0371,177.278,100.048
0.979795,120.671,138.542,38.17,99.732,177.181,100.27
0.972703,120.592,138.364,37.8447,99.5503,177.17,100.372
0.916856,120.195,138.214,37.8336,99.1435,177.145,100.577
0.902868,120.013,138.045,37.9207,99.4027,177.138,100.774
0.916556,119.83,138.013,37.9235,99.4088,177.169,100.758
0.925434,119.604,137.989,38.0657,99.3606,177.253,100.611
0.91443,119.48,137.954,38.3385,98.8383,177.291,100.568
0.960325,119.505,137.794,38.4406,98.4114,177.358,100.469
0.934439,119.634,137.357,38.5472,98.3013,177.506,100.22
0.97417,119.812,136.88,38.5952,98.6486,178.432,99.4093
0.99431,123.506,134.725,35.5663,97.0539,176.75,81.9873
0.993292,123.789,134.813,35.1825,97.334,176.668,82.0836
0.989494,127.468,138.478,33.7248,97.1641,178.445,86.6846
0.991896,127.686,138.865,33.0534,96.8479,177.989,85.9377
0.994241,127.567,139.344,32.9238,95.98,177.674,85.1341
0.930859,126.908,141.075,32.91,95.7963,177.777,84.7484
0.911723,127.016,141.417,32.7811,94.8627,177.83,84.3424
0.903293,128.096,140.371,32.3929,94.2418,178.087,84.3035
0.894114,127.818,140.836,32.4249,93.8979,178.553,84.4417
0.995721,127.097,141.021,32.5396,92.7769,179.24,84.8167
0.997305,125.027,137.916,35.108,93.9124,179.162,85.6702
0.999392,124.493,138.248,35.2976,94.1823,178.132,84.9882
1.00006,124.084,138.468,35.2638,94.407,177.461,84.5222
1.00091,123.824,138.932,35.1953,94.4378,176.993,84.2146
1.00237,124.282,138.747,35.0996,94.6528,176.789,84.2174
1.00316,124.413,138.991,35.1072,94.8458,176.636,84.1903
1.00312,125.024,139.478,35.0536,94.7536,176.632,84.2884
1.00301,125.769,139.097,35.1386,94.4011,176.827,84.5841
1.00331,125.777,139.031,35.1832,94.5155,177.01,84.8967
1.0032,126.189,138.69,35.2621,94.4866,177.236,85.1937
1.00426,126.392,138.589,35.5071,94.4828,177.396,85.4348
1.00405,124.176,140.612,37.2157,93.8293,178.714,85.4234
1.00528,123.816,140.924,37.5814,93.9791,178.945,85.4949
1.00663,123.841,141.24,37.7376,94.239,179.067,85.5869
1.00911,123.955,141.357,37.9524,94.347,179.131,85.704
1.01079,123.973,141.524,38.0744,94.5356,179.247,85.8298
1.0124,123.942,141.842,38.1524,94.6966,179.365,85.9474
1.01315,124.572,141.012,37.9706,95.0735,179.423,86.3841
1.01373,125.85,140.13,37.5056,95.4289,179.164,86.6884
1.01466,126.206,139.887,37.3659,94.6378,179.205,86.8829
1.01513,126.471,139.707,37.2282,93.5483,179.294,87.0215
1.01486,126.648,139.308,37.119,92.2893,179.42,87.155
1.0141,126.672,139.339,37.0494,90.5828,179.729,87.2791
0.962851,123.223,135.819,107.344,112.378,179.658,99.9447
0.982866,122.787,136.023,107.533,98.8895,178.73,100.877
0.982833,122.637,136.04,107.499,97.7074,178.184,101.6
0.981333,122.244,136.205,107.573,97.7014,177.614,102.489
0.955091,122.355,136.055,107.804,110.475,177.061,103.336
0.953256,122.401,135.819,107.8,110.724,176.541,104.032
0.951555,121.795,135.957,108.324,110.931,176.262,104.744
0.95034,121.646,135.938,108.402,111.927,175.926,105.281
0.952091,121.663,135.95,107.639,111.598,175.793,105.547
0.947918,121.532,136.003,108.79,111.286,175.71,105.762
0.948344,121.398,136.138,108.59,108.458,175.567,105.94
0.9477,121.337,136.224,108.576,114.862,175.486,106.013
0.947521,121.294,136.277,108.486,114.576,175.441,105.941
0.947589,120.713,136.543,108.433,114.619,175.485,105.845
0.947534,120.814,136.546,108.404,114.769,175.523,105.81
0.946051,121.011,136.556,108.429,115.026,175.58,105.683
0.945696,121.075,136.534,108.479,115.116,175.705,105.579
0.947052,121.148,136.422,107.669,107.403,175.838,105.483
0.944752,121.752,136.221,107.966,107.46,176.068,105.339
0.941913,121.767,136.162,108.721,107.516,176.413,105.048
0.941237,122.125,135.9,108.757,107.53,176.639,104.854
0.965156,122.021,135.88,108.665,99.1264,176.791,104.741
0.965447,122.062,135.837,108.508,98.7519,176.923,104.652
0.963258,122.329,135.603,108.751,99.084,176.989,104.643
0.961662,122.66,135.464,108.662,99.3153,177.008,104.661
