height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
1.48695,98.1803,98.9327,167.406,167.973,176.509,170.217
1.48689,98.1563,98.9922,167.424,167.873,176.512,170.217
1.48661,98.1436,99.0291,167.415,167.902,176.513,170.213
1.48637,98.0722,99.064,167.472,167.875,176.518,170.236
1.48654,98.0216,99.0827,167.585,167.721,176.53,170.245
1.48662,97.983,99.1058,167.654,167.665,176.537,170.266
1.48669,97.9719,99.1599,167.642,167.616,176.532,170.26
1.48655,97.9644,99.2047,167.646,167.654,176.538,170.264
1.48646,97.9707,99.2016,167.61,167.669,176.545,170.254
1.48642,97.9827,99.2199,167.543,167.637,176.548,170.224
1.48634,97.9856,99.2202,167.545,167.623,176.549,170.23
1.48633,97.9668,99.2309,167.593,167.602,176.554,170.222
1.48611,97.952,99.2462,167.64,167.643,176.562,170.218
1.48609,97.9337,99.2922,167.701,167.57,176.572,170.198
1.48607,97.9145,99.3241,167.726,167.575,176.578,170.184
1.48596,97.8977,99.3661,167.747,167.517,176.584,170.161
1.48577,97.8996,99.3886,167.726,167.464,176.593,170.124
1.48567,97.888,99.4071,167.735,167.436,176.599,170.117
1.48571,97.8721,99.4131,167.749,167.374,176.603,170.106
1.48565,97.8636,99.4238,167.763,167.324,176.608,170.105
1.48575,97.8531,99.4364,167.755,167.25,176.617,170.085
1.48551,97.8436,99.4393,167.764,167.279,176.621,170.083
1.48539,97.8335,99.4343,167.784,167.315,176.625,170.075
1.48521,97.8351,99.4093,167.785,167.341,176.628,170.074
1.48508,97.8508,99.4022,167.784,167.36,176.634,170.06
1.48492,97.8514,99.3892,167.793,167.387,176.645,170.053
1.48474,97.8504,99.3889,167.827,167.379,176.647,170.054
1.48474,97.8629,99.3546,167.834,167.397,176.652,170.06
1.48473,97.8529,99.36,167.827,167.393,176.656,170.059
1.48485,97.8495,99.3091,167.828,167.368,176.66,170.065
1.48476,97.8459,99.31,167.795,167.394,176.665,170.062
1.48472,97.8479,99.2992,167.777,167.415,176.669,170.061
1.48447,97.8381,99.2927,167.8,167.443,176.67,170.067
1.48443,97.8383,99.2904,167.803,167.442,176.673,170.063
1.48418,97.8416,99.2739,167.801,167.476,176.682,170.048
1.48401,97.8494,99.2686,167.801,167.528,176.682,170.044
1.48397,97.8548,99.2658,167.803,167.543,176.683,170.042
1.48388,97.862,99.2303,167.8,167.563,176.685,170.045
1.48382,97.857,99.2301,167.806,167.566,176.691,170.035
1.48381,97.86,99.2192,167.826,167.569,176.693,170.037
1.4837,97.8777,99.1603,167.81,167.58,176.692,170.033
1.48366,97.8803,99.1467,167.796,167.602,176.693,170.039
1.48349,97.8803,99.1389,167.808,167.7,176.695,170.043
1.48342,97.8823,99.1233,167.863,167.718,176.695,170.041
1.48349,97.8902,99.1012,167.882,167.667,176.695,170.058
1.48348,97.8926,99.0922,167.887,167.669,176.681,170.075
1.48347,97.8843,99.0941,167.884,167.671,176.68,170.073
1.48358,97.8815,99.0975,167.875,167.668,176.682,170.077
1.48344,97.9006,99.0836,167.857,167.679,176.681,170.076
1.48343,97.9622,99.0763,167.834,167.662,176.676,170.092
1.48346,98.0517,99.0303,167.805,167.658,176.677,170.061
1.48355,98.0792,99.0404,167.82,167.614,176.678,170.036
1.48354,98.1137,99.065,167.812,167.606,176.679,170.034
1.48348,98.1695,99.033,167.791,167.626,176.679,170.006
1.48341,98.2118,99.0263,167.79,167.671,176.679,169.994
1.48335,98.2172,99.0233,167.826,167.725,176.686,169.97
1.48323,98.2723,99.0078,167.83,167.784,176.692,169.943
1.48324,98.2885,99.0048,167.834,167.789,176.693,169.936
1.48334,98.2923,99.0268,167.83,167.694,176.695,169.923
1.48337,98.278,99.0543,167.846,167.664,176.688,169.939
1.48333,98.2828,99.0555,167.813,167.67,176.681,169.947
1.48329,98.2921,99.0764,167.81,167.657,176.676,169.927
1.48323,98.3081,99.0723,167.833,167.652,176.677,169.9
1.48324,98.3297,99.0622,167.807,167.635,176.675,169.885
1.48319,98.3106,99.0754,167.821,167.634,176.675,169.887
1.48301,98.2693,99.093,167.88,167.698,176.676,169.89
1.48296,98.2652,99.0993,167.895,167.649,176.684,169.861
1.48288,98.2603,99.1115,167.892,167.636,176.688,169.841
1.48282,98.2842,99.1107,167.841,167.66,176.693,169.815
1.48282,98.2925,99.1414,167.826,167.621,176.695,169.785
1.48279,98.3145,99.1311,167.821,167.579,176.699,169.758
1.48266,98.3339,99.1301,167.825,167.58,176.696,169.748
1.48273,98.3246,99.1506,167.754,167.474,176.699,169.739
1.4827,98.3199,99.1518,167.801,167.506,176.698,169.734
1.48272,98.255,99.1527,167.978,167.463,176.7,169.767
1.48262,98.2563,99.1507,167.98,167.441,176.7,169.764
1.48257,98.2784,99.139,167.971,167.479,176.696,169.767
1.48242,98.2867,99.1272,167.951,167.488,176.702,169.753
1.48225,98.3203,99.1044,167.936,167.523,176.702,169.727
1.48221,98.3049,99.1187,167.982,167.528,176.701,169.735
1.48239,98.3093,99.0908,168.004,167.537,176.693,169.751
1.48231,98.3061,99.0927,167.982,167.559,176.687,169.757
1.48224,98.3328,99.0738,167.997,167.608,176.689,169.758
1.48219,98.3523,99.07,167.975,167.607,176.691,169.745
